scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2951,0.083106,-0.014644,-0.017109,0.047595,0.035346,15.687564,0.594036,0.868180
overall,rated-only,LLR,,,,2950,0.083024,-0.012245,-0.014707,0.047774,0.035471,10.147119,0.592542,0.867797
group,all,LLR,L2s Main LLR Backtesting,Open,,531,0.105271,-0.041568,-0.043927,0.047972,0.036208,9.621469,0.612053,0.885122
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105086,-0.041874,-0.044283,0.047862,0.036117,7.513158,0.616541,0.892857
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120437,-0.019693,-0.023436,0.073458,0.055769,2.162162,0.459459,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121241,0.017206,0.013603,0.077522,0.059132,1.216216,0.405405,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.075412,-0.016434,-0.018348,0.044780,0.033392,5.939024,0.564024,0.835366
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,327,0.075653,-0.016494,-0.018408,0.044958,0.033515,4.498471,0.562691,0.834862
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077060,-0.000005,-0.002587,0.049354,0.035739,23.908579,0.585091,0.879044
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077401,0.005270,0.002721,0.050174,0.036244,9.507042,0.573239,0.881690
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073634,-0.005280,-0.007470,0.044790,0.033350,19.822181,0.601283,0.868928
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073116,-0.004455,-0.006646,0.044470,0.033146,15.815765,0.606783,0.867094
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.084801,-0.039297,-0.041962,0.046734,0.035898,2.405941,0.673267,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.084837,-0.039344,-0.042019,0.046762,0.035936,1.990099,0.673267,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119936,-0.040162,-0.046971,0.058339,0.043798,1.970149,0.597015,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.120105,-0.041429,-0.048141,0.058240,0.043678,1.761194,0.597015,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.077775,-0.032211,-0.034741,0.042086,0.030144,1.571429,0.595238,0.904762
