scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2956,0.082412,-0.014357,-0.017332,0.047342,0.035135,15.558187,0.628890,0.886333
overall,rated-only,LLR,,,,2956,0.082386,-0.011927,-0.014885,0.047565,0.035314,10.066306,0.623816,0.883627
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104900,-0.040769,-0.043850,0.048083,0.036197,9.577068,0.680451,0.906015
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104903,-0.040742,-0.043807,0.048087,0.036212,7.535714,0.671053,0.906015
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.117356,-0.012887,-0.017210,0.072471,0.054514,2.162162,0.472973,0.797297
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120661,0.023355,0.019155,0.077984,0.059131,1.243243,0.445946,0.729730
group,all,LLR,L2s Main LLR Backtesting,PCC,,330,0.075416,-0.017524,-0.019831,0.044743,0.033365,5.854545,0.578788,0.860606
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,330,0.075465,-0.017749,-0.020118,0.044806,0.033403,4.433333,0.581818,0.860606
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077397,0.000962,-0.001645,0.049627,0.035940,23.771067,0.564607,0.875000
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077548,0.006012,0.003429,0.050316,0.036369,9.379213,0.551966,0.872191
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.072748,-0.007039,-0.009962,0.044228,0.032979,19.638863,0.659945,0.896425
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.072358,-0.006102,-0.009012,0.044012,0.032870,15.714940,0.660862,0.895509
group,all,LLR,L2s Main LLR Backtesting,Production,,102,0.083264,-0.035046,-0.038668,0.045985,0.035493,2.441176,0.735294,0.872549
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,102,0.083229,-0.035079,-0.038710,0.045955,0.035470,2.009804,0.735294,0.872549
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.113398,-0.034756,-0.042057,0.055746,0.041445,1.850746,0.671642,0.925373
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.113127,-0.035610,-0.042538,0.055438,0.041217,1.641791,0.656716,0.925373
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.070086,-0.016432,-0.018915,0.040437,0.028779,1.571429,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.070093,-0.016578,-0.019097,0.040429,0.028783,1.095238,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.120680,-0.070835,-0.081875,0.087323,0.063832,2.166667,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.120203,-0.069173,-0.080169,0.087095,0.063322,1.333333,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,665,0.049356,0.032006,0.029870,0.043702,0.031325,6.854135,0.712782,0.947368
finish_quintile,all,LLR,,,20-40%,651,0.056964,0.021339,0.018943,0.043907,0.032217,12.741935,0.674347,0.900154
finish_quintile,all,LLR,,,40-60%,620,0.061342,0.009607,0.007053,0.042088,0.030205,16.393548,0.635484,0.911290
finish_quintile,all,LLR,,,60-80%,564,0.073784,-0.009242,-0.012368,0.044223,0.032247,18.684397,0.588652,0.891844
finish_quintile,all,LLR,,,bottom 20%,456,0.206272,-0.171838,-0.177251,0.068555,0.055132,27.269737,0.482456,0.736842
finish_quintile,rated-only,LLR,,,top 20%,576,0.049469,0.034386,0.032282,0.044191,0.031916,7.159722,0.710069,0.935764
finish_quintile,rated-only,LLR,,,20-40%,602,0.055365,0.025267,0.022945,0.043791,0.031903,11.593023,0.664452,0.916944
finish_quintile,rated-only,LLR,,,40-60%,613,0.062640,0.018496,0.015960,0.044139,0.031925,12.660685,0.639478,0.887439
finish_quintile,rated-only,LLR,,,60-80%,604,0.066411,0.000396,-0.002525,0.041409,0.029613,10.246689,0.609272,0.912252
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.183953,-0.145901,-0.150917,0.065451,0.052303,8.383244,0.490196,0.759358
rating_quintile,all,LLR,,,top 20%,753,0.057216,-0.007734,-0.009907,0.042556,0.031521,9.747676,0.746348,0.946879
rating_quintile,all,LLR,,,20-40%,783,0.066595,-0.006375,-0.008922,0.046284,0.033925,16.818646,0.644955,0.911877
rating_quintile,all,LLR,,,40-60%,761,0.094350,-0.012514,-0.015460,0.050354,0.037489,19.388962,0.568988,0.850197
rating_quintile,all,LLR,,,60-80%,531,0.104250,-0.020593,-0.024719,0.049939,0.037499,17.359699,0.568738,0.836158
rating_quintile,all,LLR,,,bottom 20%,128,0.165830,-0.087226,-0.092944,0.053285,0.040003,11.781250,0.445313,0.796875
rating_quintile,rated-only,LLR,,,top 20%,567,0.055892,-0.008308,-0.010403,0.041775,0.031330,7.541446,0.751323,0.943563
rating_quintile,rated-only,LLR,,,20-40%,596,0.060950,-0.000997,-0.003393,0.044622,0.032479,11.521812,0.679530,0.937919
rating_quintile,rated-only,LLR,,,40-60%,602,0.084114,-0.015187,-0.017747,0.047159,0.035184,12.897010,0.637874,0.888704
rating_quintile,rated-only,LLR,,,60-80%,592,0.090387,-0.003605,-0.006385,0.052434,0.038478,10.922297,0.528716,0.829392
rating_quintile,rated-only,LLR,,,bottom 20%,599,0.119146,-0.031175,-0.036084,0.051571,0.038908,7.317195,0.527546,0.821369
