id,ordinalMu,score,marbles,events
69,1.5793831644024425,151.0,315,4
79,1.2987499767481256,137.0,302,4
74,1.2606186021055383,157.0,306,5
67,1.2236754339668479,25.0,229,1
58,1.198192825516118,167.0,310,5
38,1.158198358880747,85.0,256,3
66,1.1533101297672306,33.0,232,1
43,1.1422670569288207,57.0,246,2
92,1.140568055679561,74.0,245,3
26,1.1152048065738693,77.0,253,3
80,1.1068689697349738,128.0,262,5
56,1.1028728991723167,61.0,256,2
32,1.0990479635803962,76.0,252,3
94,1.0926417834815276,67.0,243,3
75,1.0915196760781116,33.0,238,1
13,1.0749500856424277,49.0,241,2
88,1.0731101305688424,95.0,270,3
40,1.041303310444983,56.0,244,2
87,1.034689766602994,52.0,232,2
36,1.0341572610243583,74.0,255,2
61,1.0124905050113924,0.0,200,0
48,1.0117498086714323,63.0,266,2
8,1.0074162404343554,52.0,219,2
20,0.9934971869819484,75.0,235,3
71,0.9927347122062482,133.0,266,6
24,0.9904716196172831,0.0,200,0
51,0.9848244436140814,42.0,224,2
3,0.9784636955312039,68.0,215,3
76,0.9721926932272701,65.0,257,2
73,0.9697882143053782,64.0,255,2
4,0.9452092697100369,54.0,229,2
60,0.9364093425839493,72.0,225,3
42,0.9224558870921847,43.0,207,2
22,0.8889929113535467,83.0,252,3
91,0.8888084492146926,32.0,222,1
41,0.8856380537744069,52.0,232,2
54,0.872182863956247,18.0,200,1
89,0.8684314330922982,47.0,222,2
25,0.865988035649775,53.0,195,3
70,0.833910337763039,33.0,224,1
49,0.827332321946166,56.0,177,4
85,0.8271298672012145,35.0,206,2
86,0.8149889561870836,31.0,191,2
77,0.8117384733441929,47.0,189,3
78,0.8075774338038909,25.0,174,2
27,0.8072376512790089,8.0,180,1
14,0.8048101215257397,64.0,206,3
45,0.8020860092965079,69.0,218,3
35,0.7866247093449109,21.0,167,2
50,0.7857504781054612,24.0,169,2
72,0.7812831109660341,54.0,171,4
1,0.7794067783583145,69.0,194,4
57,0.7647234982681455,60.0,197,3
99,0.7613856485035276,47.0,195,3
9,0.7518211620308182,57.0,174,4
15,0.7336797294646088,19.0,164,2
64,0.7208872853578594,33.0,196,2
23,0.7155607033772484,15.0,193,1
46,0.710546548482952,0.0,200,0
19,0.7102067922194715,48.0,153,4
18,0.7071180749075958,87.0,217,5
21,0.7009933739253112,33.0,167,3
53,0.6922539703182815,16.0,191,1
82,0.6683111421677673,35.0,147,4
11,0.6535506852623716,39.0,208,2
47,0.6147836231985232,52.0,166,4
7,0.6025873145800759,7.0,173,1
95,0.598025040428042,40.0,151,4
65,0.5967381100776041,30.0,186,2
39,0.5908452685811686,25.0,152,3
81,0.5874408069695432,18.0,160,2
31,0.5802733751858288,35.0,198,2
59,0.576290437597881,39.0,203,2
12,0.5741834016226223,15.0,135,3
28,0.5673102244782964,13.0,132,3
90,0.5649006937286405,19.0,195,1
6,0.5552298496855386,17.0,168,2
37,0.5524740786118496,15.0,157,2
84,0.5492021033748254,5.0,138,2
33,0.546768472918836,32.0,158,3
63,0.5431814581650989,19.0,163,2
17,0.5375141497448436,22.0,119,4
5,0.5355729250642807,19.0,137,3
52,0.5328237851553261,17.0,202,1
34,0.5212027011459129,63.0,163,5
2,0.5178546072751913,15.0,161,2
96,0.4746744570246456,0.0,200,0
68,0.47431648705492174,32.0,203,2
16,0.4690183165872775,8.0,181,1
10,0.4236826556527898,11.0,186,1
62,0.3350699559139428,3.0,166,1
30,0.33227261911626427,4.0,169,1
29,0.29479834039792385,3.0,168,1
55,0.2921881335533049,13.0,125,3
0,0.26987985092435113,1.0,162,1
97,0.26588742349782485,9.0,149,2
98,0.25161332017661936,5.0,139,2
93,0.19549166005172677,7.0,117,3
83,0.1724713470294138,3.0,108,3
44,0.1550913501409403,3.0,134,2
