id,ordinalMu,score,marbles
76,1.3037217666106096,34.0,238
60,1.2652561980782524,79.0,268
49,1.2356984948821685,72.0,260
7,1.150761442817878,78.0,261
41,1.1173709918471328,119.0,291
14,1.0951516397886332,72.0,259
56,1.0863410750022613,111.0,269
24,1.0689521004165412,62.0,245
0,1.0681551362076502,62.0,241
95,1.0612211225420527,57.0,232
78,1.047301385599214,99.0,252
2,1.0250617751816582,134.0,296
93,1.024865109667868,150.0,269
36,1.009341169800438,30.0,228
18,0.9825679217199528,97.0,260
42,0.9792877013821082,40.0,225
65,0.9734171549072621,105.0,227
88,0.9677831864411103,90.0,278
54,0.9555139607206007,133.0,275
66,0.9552634996094496,61.0,228
53,0.9542610655240941,82.0,252
81,0.9462936284164073,95.0,234
47,0.9448840175944939,25.0,203
26,0.92759198539018,106.0,221
97,0.9235042759801468,90.0,229
35,0.9229706063383365,68.0,230
83,0.9203615159794198,94.0,258
3,0.918425063600405,43.0,230
25,0.9148875656212367,55.0,241
46,0.912997238401116,107.0,228
90,0.9017707871112682,75.0,238
9,0.8991006603122542,71.0,225
8,0.8906730854565702,119.0,215
16,0.8860405329129073,73.0,221
86,0.8826965453133093,58.0,234
19,0.8778931711163143,103.0,264
77,0.867602031811294,72.0,199
5,0.8587283908187442,88.0,242
45,0.8509374389646922,51.0,218
31,0.840959770875064,106.0,202
98,0.8368723182649579,36.0,192
80,0.8204994618437975,0.0,200
15,0.8161938425822051,67.0,200
62,0.806850243978291,63.0,189
44,0.8003078222567088,95.0,224
29,0.7983455131181885,46.0,234
33,0.7980928301639014,42.0,195
21,0.7799865711903355,35.0,197
71,0.776507794695815,60.0,192
64,0.7762088689980147,45.0,168
79,0.7740265237103577,59.0,237
73,0.7706889826976856,44.0,190
12,0.7667545769942394,96.0,186
37,0.7599484931164471,0.0,200
61,0.7528412949281469,43.0,174
58,0.7498456585451934,13.0,192
23,0.740402635054883,48.0,209
43,0.7354022548742583,7.0,171
72,0.7338525270175076,29.0,207
22,0.7275985949724773,68.0,193
89,0.7141757575357846,38.0,185
40,0.7130334295431877,17.0,199
32,0.7111484858061237,43.0,196
11,0.7101366941772292,26.0,184
59,0.7020611725695354,69.0,199
57,0.6881965143555816,32.0,195
63,0.6699237423109907,15.0,184
20,0.6672286261356016,18.0,189
75,0.6665860021759071,40.0,174
92,0.6486588819829401,23.0,168
68,0.6465086441549575,53.0,159
1,0.6418303689403914,40.0,182
87,0.6401114085713251,29.0,231
39,0.6298342428407135,39.0,192
55,0.6209342545202668,53.0,167
69,0.6069715901434785,22.0,176
17,0.5912568284115187,43.0,142
34,0.5833024627191539,21.0,163
10,0.558151520886254,38.0,142
91,0.558139706543112,53.0,158
27,0.5551254569951747,41.0,130
6,0.543939309657415,0.0,200
84,0.5367391491316057,35.0,130
52,0.536543939421096,29.0,149
38,0.52211297651932,53.0,187
13,0.4988559689520581,18.0,129
28,0.4908871439696921,7.0,176
70,0.4612165503481014,28.0,148
85,0.4262714985795497,13.0,123
67,0.42235525703673604,1.0,162
50,0.39687613954238554,16.0,103
94,0.39038164563894157,11.0,121
4,0.3776254167595121,15.0,105
48,0.36815840856601073,10.0,121
51,0.308330982928625,7.0,118
30,0.2878229532549817,1.0,162
96,0.2521888531580421,9.0,94
82,0.23913917951843514,8.0,114
74,0.1892067365180129,3.0,165
99,0.15131291934102903,6.0,141
