id,ordinalMu,score,marbles,events
93,1.3778225422154378,150.0,297,4
66,1.35855374565619,117.0,280,3
73,1.2313037104823052,104.0,265,3
12,1.2251042166320896,115.0,287,3
80,1.216118833661643,147.0,276,4
33,1.2086190153731906,66.0,260,2
35,1.1914740235987815,61.0,237,2
38,1.1822413311082385,160.0,264,5
50,1.176587035384856,124.0,261,4
82,1.156475990038579,151.0,250,5
24,1.1376311992912558,63.0,241,2
1,1.128237153088012,55.0,228,2
14,1.1057792683173253,67.0,233,2
55,1.1052721088708102,26.0,213,1
89,1.0786244369997198,99.0,251,3
45,1.0669123992908784,108.0,264,3
3,1.0520094927287527,31.0,217,1
40,1.048630578512868,21.0,206,1
7,1.0418832234660107,92.0,250,3
25,1.023130953950934,159.0,267,6
96,1.0212167957277194,32.0,218,1
81,1.0176931428960392,95.0,243,3
51,1.0092698571130176,101.0,243,3
47,0.9624025317883225,91.0,231,3
78,0.9552436559527445,89.0,226,3
98,0.9470989360987954,93.0,226,4
56,0.9443127362433267,90.0,222,3
88,0.9423506097975081,113.0,228,4
58,0.9279999717202815,50.0,198,3
4,0.9202260044076164,0.0,200,0
83,0.9171211392214836,100.0,222,4
72,0.9154029832678705,61.0,234,2
62,0.9120352092718876,47.0,207,2
74,0.9008835403483723,89.0,213,4
37,0.8963914575558358,30.0,220,1
84,0.8862472863797723,45.0,205,2
90,0.8816614419854384,74.0,192,4
59,0.8658381463358897,62.0,202,3
13,0.8643698843414853,69.0,227,2
54,0.8415625158247697,21.0,199,1
16,0.8366985025763614,19.0,194,1
52,0.8278149582545586,51.0,204,2
57,0.8230002319037091,77.0,229,3
44,0.8182235479014536,29.0,203,1
68,0.8131185255758884,35.0,193,2
28,0.8130929284357953,104.0,197,5
23,0.7927370053148817,67.0,210,3
69,0.7872280923349511,42.0,202,2
91,0.7745399932997514,78.0,201,4
26,0.7701079377507405,64.0,174,5
9,0.7681405710379241,48.0,205,2
20,0.762454639127186,10.0,196,1
11,0.751824434010929,21.0,198,1
0,0.7500687427976118,51.0,186,3
95,0.7482962034915589,52.0,173,4
6,0.7373248590524886,83.0,226,3
30,0.7372657607052653,17.0,193,1
34,0.737244364268742,25.0,189,2
29,0.7331336686648803,41.0,176,3
97,0.7282805834066652,76.0,171,5
2,0.7085282053948961,101.0,210,5
76,0.7052606689016574,45.0,171,4
94,0.7009552071912418,34.0,194,2
42,0.6959137618106501,17.0,195,1
53,0.6883673186371297,55.0,191,4
41,0.6846681482945159,25.0,182,2
64,0.6812655398115118,17.0,197,1
5,0.6791021662322124,14.0,188,1
10,0.6747875317796705,21.0,177,2
77,0.6731074415685556,11.0,189,1
31,0.6690396158685319,35.0,182,2
39,0.650907809768329,19.0,197,1
65,0.6300583572765489,31.0,165,3
71,0.6259177872187536,103.0,204,4
21,0.6191460624820266,61.0,179,4
22,0.6141444296184495,27.0,164,3
8,0.6054865800364787,35.0,192,2
46,0.6035971666436787,34.0,165,3
87,0.5954479512617677,11.0,160,2
60,0.586096719477763,47.0,182,3
32,0.5550468931979687,18.0,144,3
75,0.5288372720182006,30.0,149,4
19,0.5163465878197229,33.0,164,3
43,0.515622981797193,26.0,156,3
18,0.5155611251643543,29.0,129,4
17,0.5132686977395218,33.0,194,2
61,0.4896976045042051,0.0,200,0
70,0.4719846621330358,18.0,150,3
85,0.44589191673645007,6.0,147,2
27,0.44159236063383345,0.0,200,0
67,0.43971084493976637,48.0,176,3
92,0.43432837938626145,10.0,124,3
86,0.39646843422534833,15.0,172,2
48,0.36013332626814504,27.0,176,2
49,0.34325351651578645,12.0,81,5
99,0.33885027283839075,17.0,81,6
63,0.3059157320845735,35.0,121,4
15,0.2517569186180563,4.0,139,2
79,0.2212124173488526,21.0,134,3
36,0.21534782626028834,5.0,151,2
