id,ordinalMu,score,marbles,events
193,1.3872232817078947,321.0,267,2
1,1.3524796196290987,460.0,293,3
130,1.2530432152356081,446.0,286,3
82,1.2509938881202554,450.0,285,3
152,1.2404736156994043,468.0,312,4
158,1.2324992298543638,158.0,225,1
100,1.2155026314776731,451.0,288,3
39,1.2065671187696114,442.0,283,3
199,1.1856032341844063,439.0,285,3
175,1.1562551097242708,417.0,270,3
151,1.1429681279043673,412.0,267,3
47,1.1275151956244645,445.0,304,4
88,1.120406252626196,283.0,251,2
147,1.112706579435674,123.0,228,1
61,1.1124157860476624,277.0,249,2
124,1.1123591145877423,298.0,256,2
141,1.0970103399631261,401.0,265,3
54,1.0952088001501745,435.0,294,4
166,1.0944281230386452,427.0,280,3
155,1.0893518091581358,359.0,249,4
180,1.0853576013513482,328.0,246,4
71,1.0834479801611352,446.0,292,4
181,1.073177866730399,461.0,302,4
145,1.0710220617212158,383.0,271,4
5,1.0600749895630417,364.0,258,4
77,1.0589713761224793,367.0,252,3
64,1.0586084944423848,362.0,250,3
144,1.0495092810466802,348.0,247,3
108,1.0488109826765308,331.0,237,3
29,1.043225609311704,323.0,267,2
99,1.0428483542930682,434.0,293,4
16,1.040297487041964,407.0,281,4
20,1.0366092287849777,423.0,286,4
140,1.0243799661535056,278.0,244,2
121,1.0232212659625433,328.0,237,3
81,1.015331894100901,337.0,241,3
116,1.0059578108046185,392.0,264,3
160,0.9994128523859345,352.0,266,3
63,0.9916218790234137,405.0,268,3
129,0.9783244202487534,290.0,220,4
91,0.9774303709599593,363.0,255,4
137,0.9750682202476822,307.0,224,3
52,0.971406251735479,409.0,267,3
188,0.971158088971166,273.0,244,2
60,0.9670438990474364,240.0,230,2
196,0.9487537152605164,239.0,230,2
38,0.9423844544323005,338.0,247,3
67,0.9423223424848235,403.0,267,3
27,0.9414174978235373,144.0,219,1
159,0.940579407623065,311.0,230,4
119,0.9270563990719218,283.0,244,2
113,0.9177526067720805,401.0,270,3
36,0.9146135832614568,305.0,227,3
24,0.9139123847800577,323.0,235,3
150,0.9114905946467842,343.0,248,3
156,0.9096629830673687,367.0,256,3
66,0.9077125226402751,199.0,211,2
131,0.9070410260438763,310.0,234,3
35,0.9069222947172689,368.0,254,4
42,0.8993921035623772,308.0,235,3
195,0.8983127048129533,335.0,248,3
117,0.8928728356274225,211.0,191,4
15,0.8913578777973232,314.0,227,3
128,0.8909939866476262,324.0,242,4
13,0.8898674767725229,306.0,227,3
127,0.8826572775709767,271.0,246,2
92,0.8813714267907056,268.0,218,3
174,0.8801680305523345,249.0,206,3
187,0.8772359951650978,349.0,253,4
134,0.8752918064473587,302.0,233,4
102,0.8678024108789896,222.0,222,2
177,0.8636672349636678,360.0,243,3
172,0.8591420890847271,322.0,220,4
104,0.8579733131776014,262.0,210,4
73,0.8556749137298384,251.0,234,2
173,0.8478699381060024,257.0,207,4
72,0.8445941951465671,263.0,206,4
40,0.8348592670507429,316.0,229,3
192,0.8282103181009086,382.0,263,3
176,0.8253163249812236,85.0,207,1
190,0.8218338016352309,137.0,190,2
59,0.8190214168261527,333.0,233,4
44,0.8150290512257783,219.0,194,3
110,0.8073883358428353,255.0,236,2
186,0.8064422027934501,417.0,285,4
17,0.8032947830364962,344.0,256,4
26,0.7963228762254281,288.0,223,3
198,0.7951811475045772,186.0,208,2
48,0.7893334969310205,144.0,190,2
189,0.7885271932045307,264.0,214,3
53,0.7879587458322412,349.0,233,4
7,0.7812570240433041,233.0,207,3
136,0.774932241037406,329.0,224,4
194,0.7693534081155188,237.0,194,4
32,0.7679599552121013,310.0,230,4
21,0.7635778898258737,282.0,210,4
4,0.7540276976510389,168.0,180,3
103,0.746031509754024,226.0,220,2
18,0.7419567685957811,238.0,186,4
146,0.7375013501582036,124.0,181,2
57,0.7328667337717428,134.0,185,2
179,0.7300096155004385,170.0,172,3
120,0.7292566581700717,276.0,212,3
6,0.7268342234539091,181.0,164,4
153,0.7184712816422408,257.0,210,3
80,0.7177060292733956,126.0,185,2
169,0.7142136405774129,240.0,197,3
31,0.6983407299677058,172.0,173,3
43,0.6943082434954528,254.0,210,3
41,0.6910027516407949,197.0,168,4
19,0.6906484793367964,239.0,202,3
126,0.6894304191572042,156.0,175,3
86,0.6885390484286267,294.0,225,4
37,0.6855380567296424,229.0,188,4
185,0.6803702291566617,201.0,173,4
184,0.6782114535495423,186.0,172,4
9,0.6734319574959938,160.0,169,3
171,0.6727930647327781,205.0,174,4
55,0.6703544528175522,161.0,169,3
157,0.6658680886650128,142.0,158,3
89,0.6609542389327343,190.0,175,4
79,0.6586794939871157,165.0,156,4
162,0.655994370027659,189.0,167,4
139,0.655153768174494,191.0,167,4
14,0.6496882521212004,63.0,158,2
76,0.637805864264001,100.0,170,2
132,0.6359447927731803,83.0,165,2
10,0.6297644093035852,291.0,206,4
133,0.6284424980262984,174.0,157,4
23,0.6223360107063582,142.0,163,3
115,0.6206343624868595,265.0,199,4
154,0.620190115103306,220.0,189,3
0,0.6051969989237518,182.0,207,2
84,0.5988840608894217,50.0,149,2
75,0.5975121868648154,136.0,145,4
161,0.5958108820001113,192.0,183,3
51,0.5945699394376458,163.0,160,4
111,0.5879078919349691,121.0,151,3
125,0.585233723689464,295.0,209,4
49,0.5837679042644096,98.0,146,3
149,0.5823416946951443,135.0,159,3
95,0.579761282316049,176.0,203,2
22,0.5790603617066503,246.0,192,4
167,0.5768113854260619,179.0,157,4
50,0.57530250525165,160.0,193,2
56,0.5572826752763008,208.0,176,4
148,0.551796100653263,69.0,188,1
170,0.5509472814990958,121.0,154,3
114,0.5435904794209679,158.0,151,4
94,0.5403356630599053,83.0,140,3
98,0.5387333273137624,50.0,150,2
143,0.5312910836301932,217.0,158,4
90,0.5257290266406766,22.0,169,1
30,0.5185864251829504,93.0,138,3
97,0.5161516483871584,101.0,141,3
12,0.5151768250876542,129.0,184,2
182,0.5136526807288261,217.0,179,4
135,0.5086710563279158,88.0,165,2
25,0.5083137191872924,279.0,182,4
45,0.5062922156558535,125.0,148,3
28,0.5044193073677272,149.0,192,2
123,0.5042461854853065,50.0,156,2
107,0.49766216659918616,96.0,142,3
93,0.49677286475029314,57.0,126,3
69,0.4948599854487427,95.0,142,3
70,0.4868416555670086,108.0,148,3
74,0.48616768503730573,222.0,156,4
122,0.47586447736658644,169.0,157,4
164,0.4732864035288053,117.0,151,3
68,0.4707937261868386,36.0,144,2
106,0.4652887864600026,57.0,124,3
83,0.46464846175756874,83.0,135,3
34,0.46395536074249866,69.0,157,2
163,0.4564822657716965,65.0,130,3
183,0.45242883928920985,82.0,135,3
96,0.449509594990539,102.0,144,3
85,0.44594684885393576,44.0,102,4
65,0.4223173920546749,56.0,155,2
2,0.42095191117278263,123.0,128,4
142,0.41497329741282535,83.0,138,3
191,0.412945830182049,60.0,127,3
33,0.3941446034954119,124.0,146,3
105,0.37723421545180263,55.0,105,4
118,0.37484831868353974,18.0,136,2
165,0.36720129940008417,47.0,127,3
112,0.3645875280105363,13.0,135,2
78,0.35968312103684585,36.0,97,4
11,0.3428397421953008,63.0,112,4
58,0.33030921953463477,51.0,103,4
101,0.31720106618413535,32.0,144,2
109,0.31641920464334444,19.0,136,2
197,0.3158889607095059,17.0,136,2
46,0.3026810389941553,57.0,151,2
168,0.2841611628741086,47.0,121,3
62,0.2836564731309886,36.0,96,4
87,0.24228223489615808,12.0,108,3
3,0.222492546000435,19.0,90,4
178,0.1799511645499314,18.0,89,4
138,0.14027854583080895,42.0,117,3
8,0.12382646279728787,64.0,123,3
