id,ordinalMu,score,marbles
85,1.5947665145874645,372.0,271
77,1.50476222246681,497.0,310
57,1.4184554642488376,499.0,311
41,1.3427222451247507,364.0,268
147,1.3268738935417008,340.0,258
21,1.3098307466694918,487.0,304
152,1.2808890199526533,488.0,309
162,1.2251135642912674,467.0,291
109,1.2075416770910716,339.0,259
163,1.2073871891203307,462.0,280
166,1.1901655233274147,270.0,248
196,1.1835449758780006,469.0,287
118,1.1820203650747654,461.0,281
194,1.1783623527873972,471.0,281
96,1.177408397660143,413.0,272
68,1.1766125074598865,487.0,289
116,1.148990167921881,171.0,230
1,1.147264563329016,434.0,278
46,1.1442378118679932,394.0,263
149,1.134094238086375,452.0,290
114,1.1315925633608825,331.0,256
42,1.1290824589675323,284.0,249
79,1.1260131563980371,411.0,282
141,1.1220151868631199,400.0,272
134,1.1094025910894627,420.0,270
112,1.1073934338074216,422.0,286
187,1.1073425737816422,424.0,266
167,1.0997927945651518,362.0,243
97,1.0949040021063734,434.0,273
2,1.0906235451407644,398.0,269
86,1.067408882564971,401.0,257
20,1.058533035582537,447.0,274
178,1.0584682557787,215.0,232
11,1.0566482506759942,378.0,252
53,1.0504096428889433,275.0,233
8,1.0490468127743944,408.0,258
159,1.0413285180627714,354.0,251
98,1.0384227898670582,305.0,245
16,1.0285271294723013,360.0,251
13,1.010677788326468,236.0,237
18,1.0096894702937864,363.0,244
90,1.0061252734812611,380.0,251
165,1.0038618123523753,317.0,236
60,1.0034810474160871,389.0,258
58,1.0031978956365057,281.0,231
50,1.000203212192639,235.0,182
0,0.9925162586829772,260.0,233
81,0.9904014577649629,427.0,258
170,0.9855634142081717,249.0,217
102,0.9790721826786525,355.0,240
74,0.9737692581757745,348.0,236
37,0.9731055918615827,363.0,250
52,0.9687169971191572,373.0,248
142,0.9666450230456887,326.0,220
127,0.9637080267162312,406.0,269
198,0.9610298729264958,333.0,255
26,0.958356785611826,415.0,263
6,0.9357864028324203,377.0,248
150,0.9322722070860809,304.0,217
43,0.9313994224583623,325.0,242
